10.92,21.47,22.51,31.35,32.24,42.34,43.09,52.89,54.01,62.03,62.85,73.62,74.36,82.68,83.35,92.34,92.93,101.55,102.26,112.02,112.62,122.57,123.17,131.86,132.53,140.92,142.04,151.55,152.14,160.68,161.05,171.75,172.49,181.78,183.27,192.7,193.15,207.78,210.9,221,221.38,233.26,235.79,250.35,251.31,263.27,270.26,284.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.48,6.7,7.79,11.68,12.88,15.92,17.18,19.45,20.71,23.19,24.28,27.97,29.5,32.32,33.5,35.72,36.76,39.07,39.55,41.46,42.5,44.64,45.51,47.16,47.64,51.05,51.77,53.38,53.69,56.17,56.43,59.47,59.86,62.17,63.04,66,67.17,68.96,69.78,71.44,72,74.83,75.4,77.31,77.7,79.22,79.66,81.7,82.05,86.4,87.19,89.27,89.62,92.19,92.97,94.49,95.15,96.76,97.67,99.15,100.32,102.28,102.85,106.15,106.63,109.33,109.94,111.46,111.94,114.99,115.72,117.81,118.51,121.03,121.77,124.08,125.04,126.99,127.65,129.65,130.04,131.95,132.43,134.08,134.52,136.56,137.04,138.83,139.3,141.44,141.78,143.26,144.13,146,146.48,148.53,149.01,150.75,151.31,153.18,154.14,155.71,156.71,158.53,158.97,161.14,161.67,163.36,164.15,165.71,166.5,167.89,168.54,170.24,170.59,173.07,173.59,175.41,176.07,178.2,180.11,181.51,182.11,183.51,184.2,185.77,186.29,187.73,188.18,189.64,190.08,192.64,193.3,194.45,195.62,197.28,198.41,199.86,200.56,201.97
81.4,86.77,88.11,92.98,95.11,99.54,100.84,104.45,105.39,109.93,111.34,115.22,116.93,121.29,122.59,126.09,127.88,131.12,132.2,136,137.41,140.87,142.36,145.71,147.35,150.44,151.9,155.06,156.66,160.68,161.69,165.64,167.09,170.37,172.19,175.43,177.67,180.68,182.36,185.6,187.12,190.44,191.59,194.83,196.25,200.27,202.06,205.33,206.79,209.99,211.4,215.05,216.84,220.68,222.58,226.15,227.75,231.21,232.52,235.94,238.03,241.87,243.62,247.23,249.16,252.63,254.68,258.51,260.75,264.32,266.29,269.65,272.21,276.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.07,101.92,103.78,110.6,112.42,117.25,119.04,124.5,126.09,131.12,132.68,137.71,139.5,145.39,147.14,152.24,155.42,159.76,162.87,168.03,169.85,174.35,176.74,181.41,184.32,190.87,194.38,199.98,201.83,206.93,208.58,212.82,216.73,223.81,225.2,229.21,231.72,236.06,237.98,241.59,242.88,246.52,247.84,251.12,252.58,256.85,258.34,262.14,264.2,267.51,269.03,272.87,274.43,277.6,279.79,283.43,284.82,288.59,289.69,292.96,294.42,297.33,298.92,302.7,304.22,307,308.19,311,312.1,315.41,316.6,320.21,322.43,326.86,328.42,332.49,334.44,338.88,340.4,343.21,344.74,348.28,349.83,352.78,354.6,358.31,360.59,365.03,367.48,371.32,373.31,377.18,379.07,383.04,385.75,390.42,392.97,397.21,400.58,404.72,406.28,411.27,412.9,417.1,418.66,422.13,423.69,426.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141.13,149.19,152.71,163.25,167.17,177.4,180.66,190.81,194.98,202.47,204.74,211.92,214.49,219.8,222.24,227.11,230.07,235.04,237.82,242.61,244.7,249.58,252.01,258.85,260.81,265.03,266.99,270.56,272.78,276.52,278.61,282.75,285.14,289.19,291.19,294.33,296.81,300.47,302.77,305.82,307.95,311.61,313.74,316.79,319.27,322.49,325.32,328.5,330.98,333.86,336.25,339.52,342.08,344.78,347.35,350.35,352.84,356.67,359.67,362.94,365.72,368.42,373.47,376.13,378.43,381.22,384.09,386.75,391.06,394.06,397.41,400.64,406.73,409.82,414,415.83,419.7,422.62,425.93,430.02,433.33,436.46,440.82,443.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.89,64.18,67.05,78.3,85.69,113.04,114.91,129.03,132.12,148.44,150.32,165.98,169.62,183.18,185.94,199.28,201.82,213.84,216.49,231.93,235.23,246.7,249.35,259.61,261.04,267.33,269.75,277.14,279.18,287.73,290.6,296.61,298.54,304.33,306.37,312.82,314.31,322.25,325.89,332.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5,49.71,52.59,61.43,64.01,72.15,75.13,81.47,83.97,91.54,94.07,100.85,102.96,110.83,117.7,124.88,126.85,131.09,132.66,140.37,142.38,148.64,151,157.87,160.06,168.32,170.99,180.58,183.11,189.5,191.69,199.78,201.88,209.59,211.47,218.82,221.01,225.73,227.92,232.73,235.09,242.53,244.81,248.57,250.8,255.13,257.28,261.61,268.87,272.07,274.17,281.04,284.41,290.05,292.81,296.79,299.06,304.71,307.47,311.93,314.42,317.18,319.8,324.18,326.45,330.35,333.32,337,339.98,342.99,345.93,349.82,357.39,361.15,362.2,365.31,367.37,371.22,375.99,379.09,381.54,384.91,388.06,391.65,394.45,396.99,399.7,402.37,406.4,409.28,413.13,416.15,420.66,423.63,427.44,430.42,434.6,437.05,439.69,442.65,445.56,449.49,453.08,455.62,459.64,462.03,465.25,467.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.54,34.75,36.04,46.74,48.92,57.76,59.15,66.29,67.63,80.56,82.01,92.04,94.42,101.81,103.36,110.81,113.09,118.88,121.51,133.3,135.79,140.23,142.66,148.97,343.03,347.58,351.56,357.04,360.97,365.37,368.21,373.07,375.45,380.42,383.26,386.83,389.1,393.09,395.21,398.36,401,404.36,406.58,410.1,412.99,415.79,418.06,420.59,422.61,425.25,427.78,430.21,434.97,437.09,438.54,441.07,442.88,445.26,447.33,449.5,451.21,453.53,455.34,457.77,460.93,463.2,466.87,469.1,472.72,475.25,478.3,480.58,484.04,486.52,491.28,493.19,498,500.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190.06,205.39,209.31,213.59,216.79,228.74,232.84,242.37,246.23,254.32,258.97,265.18,268.44,274.59,277.43,282.5,286.36,292.21,296.92,302.89,306.93,313.15,315.74,320.03,322.44,327.02,329.86,334.39,337.58,341.45,344.82,347.78,351.73,354.84,357.56,361.36,364.4,367.51,371.19,374.09,377.38,380.15,383.47,386.37,390.26,392.85,396.32,398.89,402.33,404.8,407.36,410.17,412.76,415.99,419.49,423.32,425.43,428.36,432.22,435.3,438.71,441.69,445.41,449,452.95,456.09,458.38,461.36,463.66,467.16,469.24,472.68,475.63,478.77,482.12,485.59,489.96,493.52,496.54,500.13,503.36,506.95,510.15,513.19,516.48,520.07,522.85,526.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239.5,244.34,247.14,251.98,254.49,259.89,262.05,266.54,268.31,272.36,274.33,279.01,280.55,284.76,285.82,290.19,291.92,295.58,297.11,300.54,301.44,305.3,306.64,310.57,311.95,315.92,317.26,320.59,321.32,325.72,327.1,330.44,331.23,334.62,335.64,339.34,340.79,343.43,344.57,348.07,349.45,352.56,353.66,356.65,357.48,360.23,361.14,363.78,364.76,367.12,368.38,370.66,371.06,373.58,374.01,376.64,377.2,379.6,380.3,382.94,383.33,385.89,387.11,389.43,390.5,392.78,393.76,395.77,396.52,399.04,399.47,401.4,402.15,404.15,405.02,406.91,407.77,409.74,410.29,412.77,413.83,416.08,416.82,418.95,419.58,421.59,422.37,424.54,425.64,427.61,428.35,430.24,431.19,433.27,434.18,436.3,437.25,439.29,440,442.13,442.6,444.73,445.71,447.24,448.27,450.35,451.1,453.03,453.82,455.94,457,458.85,460.35,462.08,463.18,465.15,465.7,467.71,468.42,470.7,471.84,473.92,474.83,476.76,477.43,479.63,480.46,482.86,483.84,485.93,487.11,489.12,489.86,491.79,,,,,,
