203.32,208.56,214.25,221.68,225.68,233.38,237.25,245.68,249.69,257.43,262.26,271.73,276.56,284.44,289.09,297.83,302.52,309.26,313.63,320.69,324.75,331.81,337.14,343.65,347.7,354.9,359.55,365.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167.41,172.76,175.53,180.09,181.79,187.13,188.8,194.18,195.6,201.01,202.36,208.25,209.57,214.51,216.17,221.21,222.69,227.97,229.26,234.64,235.99,240.68,242.07,248.33,249.59,254.08,255.25,259.94,261.23,265.32,267.05,271.14,272.68,277.34,278.47,282.97,284.26,289.29,290.55,295.55,296.75,302.19,303.48,309.27,310.43,316.35,317.61,322.45,324.21,328.71,330.29,334.38,335.89,340.26,341.74,345.36,346.93,351.08,352.4,357.59,358.95,362.53,364.3,368.48,370.27,374.93,376.97,382.2,384.27,388.99,391.79,395.25,397.64,402.11,403.94,409.38,412.02,416.46,419.1,423.13,426.59,429.23,433.17,437.7,440.43,443.52,446.5,450.44,453.58,455.94,459.72,462.46,465.07,467.9,473.09,476.11,478.72,481.84,486.18,488.73,,,,,,,,,,,,,,,,,,,,,,,,,,
66.62,73.88,82.81,91.68,100.13,109.42,114.72,123.53,128.59,138.29,146.15,155.14,314.09,318.31,322,330.58,334.68,339.98,344.09,352.01,356.47,361.24,365.88,373.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.37,13.36,24.02,27.3,36.91,40.54,50.03,53.66,62.68,66.08,77.15,81.54,89.04,94.02,99.59,106.32,112.42,119.15,126.18,129.4,134.79,143.05,150.96,156.35,163.32,170.59,177.56,180.02,186.99,194.25,201.16,208.72,215.4,223.95,231.04,241.23,246.86,250.49,257.17,265.66,271.81,281.77,287.39,290.67,297.35,308.13,316.98,320.96,333.26,336.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472.37,480.6,482.7,492.73,494.53,503.31,505.11,513.65,515.94,524.23,526.4,534.32,536.55,543.55,545.65,552.95,555.8,562.55,565.27,571.64,574.68,581.61,584.46,590.58,593.68,599.31,602.47,608.35,611.13,616.76,619.43,625.43,628.28,634.84,637.81,643.32,647.65,653.16,655.82,661.58,664.42,670.3,673.89,680.45,683.55,690.67,693.88,701.19,708.43,714.37,718.76,725.7,729.04,736.84,741.73,750.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93.33,99.74,105.47,112.87,119.66,126.82,133.46,140.71,146.97,154.21,160.25,166.74,172.17,179.11,184.69,191.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.66,10.54,16.45,23.14,29.19,34.97,39.4,46.29,48.86,56.24,59.46,66.4,75.85,83.89,86.26,95.75,98.72,107.58,113.02,119.23,120.79,131.4,133.29,143.19,148.39,155.59,159.51,167.99,169.54,180.45,183.53,192.38,193.23,203.6,204.41,215.02,216.2,226.03,226.71,237.39,242.42,248.64,253.47,260.09,265.56,272.93,279.45,285.06,290.67,296.24,301.01,306.61,313.07,317.83,324.39,329.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261.98,268.8,275.07,281.26,287.45,292.58,298.46,304.18,311.51,317.19,326.36,331.92,338.82,345.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.83,127.43,131.04,140.48,144.31,152.48,155.47,164.39,166.72,174.89,177.17,185.3,187.94,195.63,198.27,206.53,208.94,216.5,219.27,226.48,229.38,236.01,239.44,245.59,249.11,254.69,258.38,264.62,268.05,275.13,278.71,285.91,289.47,297.25,300.81,307.88,311.26,319.31,323.22,330.82,334.07,341.41,344.22,353.58,357.05,363.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.83,27.89,31.11,43.88,47.66,61.07,65.63,76.55,81.26,94.31,98.31,109.87,114.79,126.42,130.98,142.54,147.25,157.74,162.73,172.97,177.21,186.6,191.77,200.04,204.75,213.53,217.81,226.8,231.72,242.35,248.41,258.4,265.32,275.02,282.94,293.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130.84,136.41,142.13,146.45,151.17,155.58,159.68,164.74,168.66,173.81,177.82,183.05,187.17,191.87,201.71,205.72,208.76,213.99,216.98,222.01,289.29,293.02,295.66,300.01,302.6,306.9,308.83,314.15,316.17,322.85,325.18,332.21,333.88,341.5,343.3,350.66,352.65,359.85,361.89,369.43,372.84,378.96,380.63,388.14,389.62,397.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.79,66.64,67.35,72.61,73.38,78.52,79.32,84.79,85.61,90.23,90.82,95.58,96.29,101.05,101.76,106.67,107.52,112.55,113.23,117.73,118.87,123.7,124.67,129.46,130.23,135.75,137.78,143.31,144.17,149.11,149.96,155.61,161.37,167.78,175.43,182.04,182.84,188.72,189.51,194.51,195.37,200.78,201.84,207.34,208.37,214.04,215.16,221.01,222.28,228.19,229.45,235.39,236.36,241.98,243.98,248.19,249.22,254.54,255.72,261.24,262.77,267.63,269.39,274.39,276.48,281.92,283.98,288.65,290.98,295.95,297.74,303.51,305.42,310.71,313.15,318.03,320.3,324.95,327.16,332.06,334.68,339.38,342.35,346.72,350.01,354.12,357.46,362,365.09,369.38,372.71,376.38,379.47,383.82,386.94,391.23,394.15,397.85,400.56,404.26,407.76,410.97,414.09,417.41,420.73,423.94,427.73,431,434.14,438.08,441.5,444.73,448.73,452.52,456.76,460.67,464.61,468.11,472.2,475.64,478.82,482.4,485.23,488.73,491.96,495.55
14.73,20.18,22.4,27.13,29.18,34.16,37.29,41.38,43.73,48.85,50.76,56.55,58.6,66.2,111.02,116.38,120.94,126.77,129.88,135.67,139.15,144.7,148.01,153.5,156.36,161.54,164.71,169.35,171.8,176.34,178.45,183.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.98,104.47,107.88,115.98,120.27,128.7,133.78,142.62,148.71,155.33,161.16,168.25,174.54,181.97,187.32,195.82,201.98,209.14,215.17,223.4,229.35,237.32,242.94,250.44,255.99,263.82,268.71,277.47,282.16,289.72,294.67,302.44,306.99,313.68,318.36,325.32,330.68,337.3,343.19,349.75,355.58,361.93,367.35,374.18,379.8,388.44,394.93,403.16,409.72,418.22,424.64,433.74,440.97,449.87,459.51,467.54,473.97,481.26,496.59,510.11,517.13,524.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.28,10.38,13.51,22.21,27.09,34.82,38.92,49.03,52.66,61.56,67.61,75.72,80.29,92,95.67,107.67,112.45,124.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242.26,249.54,250.79,259.85,261.29,269.42,271.36,278.24,283.19,289.23,290.8,298,299.49,307.42,309.23,315.83,318.17,323.36,325.09,330.4,332.13,338.17,340.22,346.18,348.47,353.62,356.2,361.55,364.01,369.48,371.62,377.09,379.87,384.25,386.95,392.38,394.92,400.03,402.57,408.24,411.02,415.77,419.23,423.74,426.76,431.34,434.56,439.39,442.09,446.8,449.9,454.65,457.39,462.26,466.52,471.15,474.97,479.64,487.21,491.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.9,123.98,131.2,143.01,151.47,162.31,170.85,179.66,187.68,198.96,205.75,215.53,224.07,233.32,241.87,251.74,258.7,269.45,277.21,287.16,299.23,310.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.46,228.43,233.97,242.91,246.6,255.04,259.44,267.67,272.43,279.88,285.06,293.29,299.18,306.14,311.67,319.19,323.31,331.4,336.22,343.32,348.43,356.09,361.84,370.07,374.47,383.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.85,68.61,72.47,81.35,84.8,93.63,97.44,105.51,109.01,116.98,120.28,127.89,131.04,139.51,143.22,151.84,155.5,164.13,168.14,176.6,182.15,189.81,193.41,203.46,206.81,217.16,221.73,232.89,236.9,248.68,253.29,266.69,270.9,285.01,290.19,304.3,309.63,323.13,328.15,340.89,345.91,363.12,368.14,382.91,387.32,402.6,408.03,422.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216.15,227.38,228.92,244.11,245.33,257.29,258.58,266.75,268.28,279.36,282.19,289.62,291.56,301.75,305.22,312.66,314.44,322.76,324.87,334.24,336.91,345.15,347.42,357.04,359.22,368.19,387.19,391.96,393.57,403.68,405.78,415.96,418.06,428.66,430.96,438.53,441.2,447.91,451.44,459.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.41,48.95,52.64,57.51,61.04,70.33,74.76,83.6,89.59,98.17,103.43,111.15,116.52,121.77,129.93,137.44,144.73,153.21,157.29,170,174.18,184.59,188.51,197.73,200.31,207.28,211.33,216.8,222.92,224.53,236.97,241.9,247.59,253.17,257.35,264.43,269.15,276.23,282.35,288.78,293.18,300.9,305.95,313.78,318.61,324.4,329.33,335.66,340.92,348.43,354.01,360.01,365.91,371.92,377.5,383.94,390.16,396.27,402.06,407.32,413.22,418.37,423.52,430.6,435.86,441.86,447.55,453.45,458.06,464.93,470.61,475.98,480.8,486.38,491.21,496.25,501.4,507.41,513.63,518.24,524.46,529.61,537.55,542.49,550.96,556.54,567.05,572.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
